key,name_en,name_cn,name_hk,url
25011,Yemen Post,Yemen Post,Yemen Post,http://www.post.ye/
26011,Zambia Post,Zambia Post,Zambia Post,http://www.zampost.com.zm/
26021,Zimbabwe Post,Zimbabwe Post,Zimbabwe Post,http://www.zimpost.co.zw/
90021,General Post Office,General Post Office,General Post Office,http://www.aps.ai/
90041,Bermuda Post,Bermuda Post,Bermuda Post,https://www.bermudapost.bm/
90061,Gibraltar Post,Gibraltar Post,Gibraltar Post,http://www.royalgibraltar.post/
90091,Jersey Post,Jersey Post,Jersey Post,http://www.jerseypost.com/
91021,Aland Post,Aland Post,Aland Post,http://www.alandpost.ax/
92021,Antilles Post,Antilles Post,Antilles Post,http://cpostinternational.com/
92031,Aruba Post,Aruba Post,Aruba Post,http://www.postaruba.com/
96021,Faroe Post,Faroe Post,Faroe Post,http://www.posta.fo/
96031,Tele Post,Tele Post,Tele Post,https://telepost.gl/
97021,OPT-NC,OPT-NC,OPT-NC,http://www.opt.nc/
100001,DHL Express,DHL Express,DHL Express,https://mydhl.express.dhl/
100002,UPS,UPS,UPS,https://www.ups.com/
100003,FedEx,FedEx,FedEx,https://www.fedex.com/
100004,TNT,TNT,TNT,https://www.tnt.com/
100005,GLS,GLS,GLS,https://gls-group.eu/EU/en/home
100006,Aramex,Aramex,Aramex,https://www.aramex.com/
100007,DPD (DE),DPD (DE),DPD (DE),https://www.dpd.com/
100009,Toll,Toll,Toll,https://www.tollgroup.com/
100010,DPD (UK),DPD (UK),DPD (UK),https://www.dpd.co.uk/
100011,One World,One World,One World,http://www.oneworldexpress.com/
100012,SF Express,顺丰速运,順豐速運,https://intl.sf-express.com/
100014,DPEX,DPEX,DPEX,http://www.dpex.com/
100015,i-Parcel,i-Parcel,i-Parcel,http://www.i-parcel.com/
100016,Asendia USA,Asendia USA,Asendia USA,http://www.asendiausa.com/
100017,Yodel,Yodel,Yodel,https://www.yodel.net.cn/
100018,Hermes,Hermes,Hermes,https://www.hermesworld.com/
100019,SDA,SDA,SDA,http://www.sda.it/
100020,LWE,LWE,LWE,http://www.lwe.asia/
100021,Landmark Global,Landmark Global,Landmark Global,https://landmarkglobal.com/
100023,Meest,Meest,Meest,http://meest-group.com/
100024,GLS (IT),GLS (IT),GLS (IT),https://www.gls-italy.com/
100025,Skynet,Skynet,Skynet,http://www.skynet.net/
100026,BRT Bartolini(DPD),BRT Bartolini(DPD),BRT Bartolini(DPD),http://www.brt.it/
100027,Colis Prive(Colis Privé),Colis Prive(Colis Privé),Colis Prive(Colis Privé),http://www.colisprive.com/
100028,ePost Global,ePost Global,ePost Global,https://epostglobalshipping.com/
100029,Asendia,Asendia,Asendia,http://www.asendia.com/
100030,CDEK,CDEK,CDEK,http://www.cdek.ru/
100031,Hermes (DE),Hermes (DE),Hermes (DE),https://www.myhermes.de/
100032,Exelot,Exelot,Exelot,http://www.exelot.com/
100033,SP EXPRESS,SP EXPRESS,SP EXPRESS,https://sp.express/
100034,SMSA Express (سمسا),SMSA Express (سمسا),SMSA Express (سمسا),https://www.smsaexpress.com/
100035,Nova Poshta,Nova Poshta,Nova Poshta,http://novaposhta.ua/
100036,Pitney Bowes,Pitney Bowes,Pitney Bowes,https://www.pitneybowes.com/
100037,Pony Express,Pony Express,Pony Express,https://www.ponyexpress.ru/
100038,Zinc,Zinc,Zinc,https://zinc.io/
100040,Sagawa (佐川急便),Sagawa (佐川急便),Sagawa (佐川急便),http://www.sagawa-exp.co.jp/
